lexeme	CurrentNode	lineno	tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	NodeSymbol
----	new_24	-	----	----	singleOrRecId	non-leaf	new_24
----	assignmentStmt	-	----	----	stmt	non-leaf	assignmentStmt
<---	----	533	TK_ASSIGNOP	----	assignmentStmt	leaf	TK_ASSIGNOP
d4cbcd5677	----	533	TK_ID	----	all	leaf	TK_ID
----	all	-	----	----	factor	non-leaf	all
----	eps	-	----	----	temp	non-leaf	eps
----	temp	-	----	----	all	non-leaf	temp
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	arithmeticExpression	non-leaf	term
/	----	533	TK_DIV	----	highPrecedenceOperators	leaf	TK_DIV
----	highPrecedenceOperators	-	----	----	termPrime	non-leaf	highPrecedenceOperators
----	termPrime	-	----	----	term	non-leaf	termPrime
c4bbb	----	533	TK_ID	----	all	leaf	TK_ID
----	all	-	----	----	factor	non-leaf	all
----	temp	-	----	----	all	non-leaf	temp
----	factor	-	----	----	termPrime	non-leaf	factor
----	termPrime	-	----	----	termPrime	non-leaf	termPrime
----	arithmeticExpression	-	----	----	assignmentStmt	non-leaf	arithmeticExpression
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
Syntax Error in child of assignmentStmt
----	stmt	-	----	----	conditionalStmt	non-leaf	stmt
----	eps	-	----	----	otherStmts	non-leaf	eps
----	otherStmts	-	----	----	conditionalStmt	non-leaf	otherStmts
else	----	534	TK_ELSE	----	elsePart	leaf	TK_ELSE
----	elsePart	-	----	----	conditionalStmt	non-leaf	elsePart
write	----	535	TK_WRITE	----	ioStmt	leaf	TK_WRITE
----	ioStmt	-	----	----	stmt	non-leaf	ioStmt
(	----	535	TK_OP	----	ioStmt	leaf	TK_OP
c4bbb	----	535	TK_ID	----	all	leaf	TK_ID
----	all	-	----	----	ioStmt	non-leaf	all
----	eps	-	----	----	temp	non-leaf	eps
----	temp	-	----	----	all	non-leaf	temp
)	----	535	TK_CL	----	ioStmt	leaf	TK_CL
;	----	535	TK_SEM	----	ioStmt	leaf	TK_SEM
----	stmt	-	----	----	elsePart	non-leaf	stmt
----	eps	-	----	----	otherStmts	non-leaf	eps
----	otherStmts	-	----	----	elsePart	non-leaf	otherStmts
endif	----	536	TK_ENDIF	----	elsePart	leaf	TK_ENDIF
----	stmt	-	----	----	otherStmts	non-leaf	stmt
----	otherStmts	-	----	----	otherStmts	non-leaf	otherStmts
----	otherStmts	-	----	----	otherStmts	non-leaf	otherStmts
Syntax Error in child of stmts
end	----	538	TK_END	----	function	leaf	TK_END
----	otherFunctions	-	----	----	program	non-leaf	otherFunctions
----	eps	-	----	----	otherFunctions	non-leaf	eps
----	otherFunctions	-	----	----	otherFunctions	non-leaf	otherFunctions
----	program	  -  	----	----	root	non-Leaf	program
_main	----	542	TK_MAIN	----	mainFunction	leaf	TK_MAIN
----	mainFunction	-	----	----	program	non-leaf	mainFunction
----	eps	-	----	----	typeDefinitions	non-leaf	eps
----	typeDefinitions	-	----	----	stmts	non-leaf	typeDefinitions
----	stmts	-	----	----	mainFunction	non-leaf	stmts
type	----	543	TK_TYPE	----	declaration	leaf	TK_TYPE
----	declaration	-	----	----	declarations	non-leaf	declaration
int	----	543	TK_INT	----	primitiveDatatype	leaf	TK_INT
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	declaration	non-leaf	dataType
Syntax Error in child of declaration
b5	----	543	TK_ID	----	declaration	leaf	TK_ID
----	eps	-	----	----	global_or_not	non-leaf	eps
----	global_or_not	-	----	----	declaration	non-leaf	global_or_not
;	----	543	TK_SEM	----	declaration	leaf	TK_SEM
----	declarations	-	----	----	stmts	non-leaf	declarations
type	----	544	TK_TYPE	----	declaration	leaf	TK_TYPE
----	declaration	-	----	----	declarations	non-leaf	declaration
int	----	544	TK_INT	----	primitiveDatatype	leaf	TK_INT
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	declaration	non-leaf	dataType
:	----	544	TK_COLON	----	declaration	leaf	TK_COLON
d5cb34567	----	544	TK_ID	----	declaration	leaf	TK_ID
----	eps	-	----	----	global_or_not	non-leaf	eps
----	global_or_not	-	----	----	declaration	non-leaf	global_or_not
;	----	544	TK_SEM	----	declaration	leaf	TK_SEM
----	declarations	-	----	----	declarations	non-leaf	declarations
type	----	545	TK_TYPE	----	declaration	leaf	TK_TYPE
----	declaration	-	----	----	declarations	non-leaf	declaration
int	----	545	TK_INT	----	primitiveDatatype	leaf	TK_INT
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	declaration	non-leaf	dataType
:	----	545	TK_COLON	----	declaration	leaf	TK_COLON
b3b444	----	545	TK_ID	----	declaration	leaf	TK_ID
:	----	545	TK_COLON	----	global_or_not	leaf	TK_COLON
----	global_or_not	-	----	----	declaration	non-leaf	global_or_not
global	----	545	TK_GLOBAL	----	global_or_not	leaf	TK_GLOBAL
;	----	545	TK_SEM	----	declaration	leaf	TK_SEM
----	declarations	-	----	----	declarations	non-leaf	declarations
type	----	546	TK_TYPE	----	declaration	leaf	TK_TYPE
----	declaration	-	----	----	declarations	non-leaf	declaration
real	----	546	TK_REAL	----	primitiveDatatype	leaf	TK_REAL
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	declaration	non-leaf	dataType
:	----	546	TK_COLON	----	declaration	leaf	TK_COLON
c3	----	546	TK_ID	----	declaration	leaf	TK_ID
----	eps	-	----	----	global_or_not	non-leaf	eps
----	global_or_not	-	----	----	declaration	non-leaf	global_or_not
;	----	546	TK_SEM	----	declaration	leaf	TK_SEM
----	declarations	-	----	----	declarations	non-leaf	declarations
----	eps	-	----	----	declarations	non-leaf	eps
----	declarations	-	----	----	declarations	non-leaf	declarations
b5	----	547	TK_ID	----	singleOrRecId	leaf	TK_ID
----	singleOrRecId	-	----	----	assignmentStmt	non-leaf	singleOrRecId
Syntax Error in child of singleOrRecId
----	assignmentStmt	-	----	----	stmt	non-leaf	assignmentStmt
Syntax Error in child of assignmentStmt
Syntax Error in child of assignmentStmt
;	----	547	TK_SEM	----	assignmentStmt	leaf	TK_SEM
----	stmt	-	----	----	otherStmts	non-leaf	stmt
----	otherStmts	-	----	----	stmts	non-leaf	otherStmts
read	----	548	TK_READ	----	ioStmt	leaf	TK_READ
----	ioStmt	-	----	----	stmt	non-leaf	ioStmt
(	----	548	TK_OP	----	ioStmt	leaf	TK_OP
d5cb34567	----	548	TK_ID	----	singleOrRecId	leaf	TK_ID
----	singleOrRecId	-	----	----	ioStmt	non-leaf	singleOrRecId
----	eps	-	----	----	new_24	non-leaf	eps
----	new_24	-	----	----	singleOrRecId	non-leaf	new_24
)	----	548	TK_CL	----	ioStmt	leaf	TK_CL
;	----	548	TK_SEM	----	ioStmt	leaf	TK_SEM
----	stmt	-	----	----	otherStmts	non-leaf	stmt
----	otherStmts	-	----	----	otherStmts	non-leaf	otherStmts
read	----	549	TK_READ	----	ioStmt	leaf	TK_READ
----	ioStmt	-	----	----	stmt	non-leaf	ioStmt
(	----	549	TK_OP	----	ioStmt	leaf	TK_OP
Syntax Error in child of ioStmt
)	----	549	TK_CL	----	ioStmt	leaf	TK_CL
;	----	549	TK_SEM	----	ioStmt	leaf	TK_SEM
----	stmt	-	----	----	otherStmts	non-leaf	stmt
----	otherStmts	-	----	----	otherStmts	non-leaf	otherStmts
read	----	550	TK_READ	----	ioStmt	leaf	TK_READ
----	ioStmt	-	----	----	stmt	non-leaf	ioStmt
(	----	550	TK_OP	----	ioStmt	leaf	TK_OP
b3b444	----	550	TK_ID	----	singleOrRecId	leaf	TK_ID
----	singleOrRecId	-	----	----	ioStmt	non-leaf	singleOrRecId
----	eps	-	----	----	new_24	non-leaf	eps
----	new_24	-	----	----	singleOrRecId	non-leaf	new_24
)	----	550	TK_CL	----	ioStmt	leaf	TK_CL
;	----	550	TK_SEM	----	ioStmt	leaf	TK_SEM
----	stmt	-	----	----	otherStmts	non-leaf	stmt
----	otherStmts	-	----	----	otherStmts	non-leaf	otherStmts
